model,window,method,policy,residual_residency,nll,hbm_mib,dram_mib
mistral,18,tq4,,1.0,1.9925407604086587,274.251953125,0.0
mistral,19,bf16,,,1.3805679950113605,1056.0,0.0
mistral,19,tq2,,,1.5071340308436163,142.25048828125,0.0
mistral,19,paged_precision,,0.0,1.5504937825340548,142.25439453125,0.0
mistral,19,paged_precision,sink,0.1,1.4996997433432568,155.75439453125,118.5
mistral,19,paged_precision,recent,0.1,1.3926498542289787,155.75439453125,118.5
mistral,19,paged_precision,attention_ema,0.1,1.394613732094819,155.75439453125,118.5
mistral,19,paged_precision,sink,0.25,1.4943534676428811,175.25439453125,99.0
mistral,19,paged_precision,recent,0.25,1.3846084253018294,175.25439453125,99.0
mistral,19,paged_precision,attention_ema,0.25,1.3987392561410297,175.25439453125,99.0
mistral,19,paged_precision,sink,0.5,1.4704868591426044,208.25439453125,66.0
mistral,19,paged_precision,recent,0.5,1.395015237105833,208.25439453125,66.0
mistral,19,paged_precision,attention_ema,0.5,1.3900109943922048,208.25439453125,66.0
mistral,19,tq3,,,1.3988132470569044,208.2509765625,0.0
mistral,19,tq4,,1.0,1.3906614827366646,274.251953125,0.0
mistral,20,bf16,,,1.5474208309231638,1056.0,0.0
mistral,20,tq2,,,1.7943568248082897,142.25048828125,0.0
mistral,20,paged_precision,,0.0,1.754078343169681,142.25439453125,0.0
mistral,20,paged_precision,sink,0.1,1.7305406342439795,155.75439453125,118.5
mistral,20,paged_precision,recent,0.1,1.5771975912080691,155.75439453125,118.5
mistral,20,paged_precision,attention_ema,0.1,1.5739482917272287,155.75439453125,118.5
mistral,20,paged_precision,sink,0.25,1.6875437472974824,175.25439453125,99.0
mistral,20,paged_precision,recent,0.25,1.5713718628024527,175.25439453125,99.0
mistral,20,paged_precision,attention_ema,0.25,1.5698457485665944,175.25439453125,99.0
mistral,20,paged_precision,sink,0.5,1.668478589861607,208.25439453125,66.0
mistral,20,paged_precision,recent,0.5,1.5681807177420204,208.25439453125,66.0
mistral,20,paged_precision,attention_ema,0.5,1.565943048846135,208.25439453125,66.0
mistral,20,tq3,,,1.5708598440558106,208.2509765625,0.0
mistral,20,tq4,,1.0,1.5455498964765084,274.251953125,0.0
mistral,21,bf16,,,0.9508563377103698,1056.0,0.0
mistral,21,tq2,,,1.0774401830801708,142.25048828125,0.0
mistral,21,paged_precision,,0.0,1.0669107205367254,142.25439453125,0.0
mistral,21,paged_precision,sink,0.1,1.1061026905013591,155.75439453125,118.5
mistral,21,paged_precision,recent,0.1,0.9812354610972989,155.75439453125,118.5
mistral,21,paged_precision,attention_ema,0.1,0.969151302757858,155.75439453125,118.5
mistral,21,paged_precision,sink,0.25,1.089617550996195,175.25439453125,99.0
mistral,21,paged_precision,recent,0.25,0.9692862901986672,175.25439453125,99.0
mistral,21,paged_precision,attention_ema,0.25,0.965946312153882,175.25439453125,99.0
mistral,21,paged_precision,sink,0.5,1.0701318422927102,208.25439453125,66.0
mistral,21,paged_precision,recent,0.5,0.9572789182253558,208.25439453125,66.0
mistral,21,paged_precision,attention_ema,0.5,0.9571746211889831,208.25439453125,66.0
mistral,21,tq3,,,0.9680892675387298,208.2509765625,0.0
